iceberg_id,lat,lon,area_km2,length_km,width_km,velocity_ms,heading_deg,date,source
G71C,-58.044,-23.3203,1135.3,52.0,21.8,0.082,34.3,2026-09-10,mock
N98E,-67.1632,-9.7167,673.1,31.3,21.5,0.17,43.4,2026-09-10,mock
E58Y,-76.6917,57.2921,1098.8,42.5,25.9,0.16,317.2,2026-09-10,mock
U31O,-56.0684,141.2944,1489.5,50.7,29.4,0.236,3.1,2026-09-10,mock
C22E,-67.0757,99.4424,235.5,23.5,10.0,0.29,309.6,2026-09-10,mock
U20H,-78.0,-73.2997,533.8,35.7,15.0,0.327,89.2,2026-09-10,mock
J36Q,-63.69,-63.8646,434.5,40.7,10.7,0.059,304.9,2026-09-10,mock
P59D,-57.8048,-37.8647,450.4,26.4,17.1,0.364,343.7,2026-09-10,mock
E59S,-61.8042,8.5179,797.1,56.0,14.2,0.395,336.2,2026-09-10,mock
C11I,-60.6459,-24.6117,1146.5,66.5,17.2,0.32,6.0,2026-09-10,mock
N64W,-66.4017,-7.4859,1186.0,55.3,21.5,0.27,180.4,2026-09-10,mock
G29R,-63.4757,-29.0031,927.9,43.3,21.4,0.158,184.1,2026-09-10,mock
X40B,-70.3927,99.6288,1253.4,61.8,20.3,0.073,251.5,2026-09-10,mock
X32D,-65.9379,3.7345,685.5,44.2,15.5,0.158,267.0,2026-09-10,mock
X43F,-73.121,-19.055,254.1,31.3,8.1,0.233,281.9,2026-09-10,mock
Z64I,-73.0307,104.0337,410.5,38.7,10.6,0.32,10.6,2026-09-10,mock
P82F,-69.0613,-64.1303,869.2,37.2,23.4,0.209,129.6,2026-09-10,mock
A15A,-72.7269,103.7999,1342.5,63.7,21.1,0.09,266.7,2026-09-10,mock
Z93N,-66.3402,1.6193,1381.1,49.9,27.7,0.386,12.7,2026-09-10,mock
Q96B,-63.582,3.1877,1083.2,46.6,23.2,0.077,134.2,2026-09-10,mock
Y49K,-70.8681,-9.8268,78.4,13.5,5.8,0.357,311.8,2026-09-10,mock
O57S,-62.9691,-69.9609,309.0,29.0,10.6,0.156,224.2,2026-09-10,mock
N13H,-67.4221,69.0766,1101.4,54.3,20.3,0.329,54.2,2026-09-10,mock
X49D,-66.2358,-60.3128,1317.0,71.2,18.5,0.051,236.6,2026-09-10,mock
C15H,-61.5019,-2.155,743.1,34.0,21.8,0.399,256.2,2026-09-10,mock
Q27U,-62.345,-123.0083,1344.4,57.4,23.4,0.312,209.1,2026-09-10,mock
K60W,-59.6565,155.0569,102.8,17.5,5.9,0.096,105.0,2026-09-10,mock
S23E,-56.2465,146.8417,415.2,25.7,16.2,0.121,280.8,2026-09-10,mock
J69I,-66.8563,-56.2183,615.7,40.4,15.2,0.388,74.7,2026-09-10,mock
K28C,-62.4009,142.0285,1032.2,59.8,17.3,0.294,14.5,2026-09-10,mock
A61O,-63.6178,16.0723,775.1,48.5,16.0,0.141,356.6,2026-09-10,mock
Y38E,-62.2192,-78.0044,698.4,48.7,14.3,0.099,4.3,2026-09-10,mock
C12C,-58.5633,1.8672,949.1,52.9,18.0,0.254,93.2,2026-09-10,mock
B69B,-57.775,4.0029,201.9,27.3,7.4,0.34,119.4,2026-09-10,mock
L37F,-63.8587,-12.3053,1089.4,52.7,20.7,0.184,153.6,2026-09-10,mock
N80P,-68.7015,51.7027,61.6,13.3,4.6,0.136,106.2,2026-09-10,mock
Z79Z,-78.0,-28.6095,634.7,43.2,14.7,0.329,89.7,2026-09-10,mock
Q51M,-70.306,-16.6425,545.1,38.2,14.3,0.22,328.6,2026-09-10,mock
P77L,-69.7018,34.7663,336.3,35.1,9.6,0.322,21.1,2026-09-10,mock
Z17Y,-73.9601,-88.2171,247.8,22.0,11.3,0.134,192.1,2026-09-10,mock
H85K,-61.0431,20.1799,588.7,47.3,12.5,0.397,62.5,2026-09-10,mock
E82G,-72.4189,-84.4365,891.4,52.6,16.9,0.173,204.4,2026-09-10,mock
H87H,-55.0,163.7488,743.4,39.5,18.8,0.222,32.5,2026-09-10,mock
Z51B,-74.9355,-40.0795,1377.7,50.5,27.3,0.096,258.1,2026-09-10,mock
C57W,-78.0,-18.9591,221.1,19.2,11.5,0.234,131.4,2026-09-10,mock
Z91P,-71.244,78.131,459.6,28.1,16.4,0.105,341.5,2026-09-10,mock
V85F,-72.0272,96.3155,847.3,55.6,15.2,0.265,128.5,2026-09-10,mock
M82B,-61.2318,-24.445,199.7,25.2,7.9,0.382,341.5,2026-09-10,mock
E52X,-67.0761,2.3311,1451.6,52.5,27.7,0.248,337.2,2026-09-10,mock
U52O,-66.12,-40.7286,260.2,30.8,8.5,0.081,255.2,2026-09-10,mock
M66X,-77.5479,-32.6138,111.0,14.8,7.5,0.088,0.5,2026-09-10,mock
P83U,-55.0,-18.5634,744.7,41.0,18.2,0.241,36.5,2026-09-10,mock
D19K,-72.9284,-90.3203,119.8,20.5,5.8,0.153,114.7,2026-09-10,mock
T71W,-64.2207,-20.4729,121.8,21.6,5.6,0.392,121.7,2026-09-10,mock
G62W,-75.8868,-20.4909,914.9,46.8,19.5,0.069,119.2,2026-09-10,mock
S80P,-62.4796,-63.6008,405.2,28.7,14.1,0.133,17.9,2026-09-10,mock
D13G,-72.555,-25.1855,140.6,22.0,6.4,0.269,172.9,2026-09-10,mock
V43C,-66.7181,4.0117,715.6,34.6,20.7,0.325,169.5,2026-09-10,mock
O43H,-69.7587,80.6464,1329.4,54.5,24.4,0.206,94.8,2026-09-10,mock
R62Y,-60.9144,139.1492,1130.8,58.3,19.4,0.08,123.8,2026-09-10,mock
P83H,-60.6249,-58.4705,586.8,39.2,15.0,0.388,247.3,2026-09-10,mock
S96T,-74.4115,57.6441,1282.4,44.0,29.2,0.25,186.1,2026-09-10,mock
E15N,-71.8972,-2.5843,267.6,32.5,8.2,0.39,291.0,2026-09-10,mock
X18C,-58.6172,-57.1382,1495.9,65.8,22.7,0.342,92.8,2026-09-10,mock
W89S,-58.7364,-28.5384,1286.4,58.0,22.2,0.371,4.5,2026-09-10,mock
D23S,-61.8831,-82.1244,233.0,25.2,9.2,0.254,347.3,2026-09-10,mock
P83T,-78.0,-86.6172,808.1,41.9,19.3,0.194,137.9,2026-09-10,mock
K98H,-77.0253,54.0624,224.3,25.3,8.9,0.293,14.0,2026-09-10,mock
I72W,-72.7425,-12.475,1346.6,44.6,30.2,0.336,109.1,2026-09-10,mock
I63T,-74.2178,101.167,210.2,28.7,7.3,0.205,297.3,2026-09-10,mock
L17Q,-74.3071,88.3515,1371.0,56.5,24.3,0.22,185.9,2026-09-10,mock
A32G,-78.0,-85.8663,765.1,36.2,21.1,0.348,316.6,2026-09-10,mock
I57O,-62.4707,-110.2907,381.7,30.6,12.5,0.371,253.7,2026-09-10,mock
P85R,-65.7306,-57.8078,1024.9,44.6,23.0,0.221,160.6,2026-09-10,mock
B30S,-70.8575,105.7296,395.4,37.1,10.7,0.082,9.9,2026-09-10,mock
A97A,-70.1508,-69.4867,974.6,54.4,17.9,0.144,147.4,2026-09-10,mock
J92I,-68.2848,65.2211,905.7,36.3,24.9,0.138,289.8,2026-09-10,mock
T60S,-55.3452,-19.5524,693.9,36.2,19.2,0.156,187.4,2026-09-10,mock
J48V,-68.4265,-40.2171,1450.1,71.3,20.3,0.247,213.8,2026-09-10,mock
U48G,-63.6826,-60.1115,422.0,30.0,14.1,0.147,236.2,2026-09-10,mock
K97E,-67.9271,-18.0909,94.6,18.3,5.2,0.334,145.5,2026-09-10,mock
S83G,-65.8454,20.3212,450.5,40.9,11.0,0.192,265.2,2026-09-10,mock
Q48F,-67.0345,87.2709,806.6,51.9,15.5,0.367,241.9,2026-09-10,mock
R33V,-57.0239,154.0474,447.7,33.4,13.4,0.309,261.1,2026-09-10,mock
K57I,-67.4437,-132.721,539.4,41.7,12.9,0.157,283.7,2026-09-10,mock
C70G,-59.9595,-34.7636,711.1,50.5,14.1,0.254,339.9,2026-09-10,mock
G53N,-68.5018,-65.0791,799.5,43.3,18.5,0.355,54.3,2026-09-10,mock
K90F,-55.0,-30.7005,223.4,28.2,7.9,0.113,29.1,2026-09-10,mock
P21E,-67.955,80.7414,417.6,37.0,11.3,0.109,275.2,2026-09-10,mock
X57A,-58.5629,-47.4177,649.2,40.3,16.1,0.052,192.2,2026-09-10,mock
W54J,-67.5779,-110.4031,294.0,29.9,9.8,0.269,89.6,2026-09-10,mock
O76T,-72.0729,-10.1999,466.1,27.0,17.2,0.066,341.4,2026-09-10,mock
G31Z,-66.3216,-58.8608,1493.3,57.0,26.2,0.365,129.3,2026-09-10,mock
D56W,-64.1088,-38.3704,1477.5,52.6,28.1,0.058,181.7,2026-09-10,mock
B94D,-67.2787,86.3558,964.1,56.4,17.1,0.268,213.8,2026-09-10,mock
W29G,-66.8388,76.5471,182.5,21.0,8.7,0.093,91.0,2026-09-10,mock
W27N,-59.2426,5.6791,637.1,32.3,19.7,0.232,224.2,2026-09-10,mock
T35Y,-55.0,152.6475,930.4,43.5,21.4,0.325,179.2,2026-09-10,mock
G98P,-63.185,54.3936,543.3,35.6,15.3,0.106,197.3,2026-09-10,mock
C75C,-71.9549,80.9825,142.6,15.4,9.3,0.251,177.9,2026-09-10,mock
B22F,-58.8642,32.5434,970.1,48.8,19.9,0.392,95.1,2026-09-10,mock
Y15A,-63.2056,146.017,1204.4,50.3,23.9,0.308,34.2,2026-09-10,mock
X21L,-62.2161,156.716,499.7,42.8,11.7,0.384,96.6,2026-09-10,mock
P63U,-60.1728,140.715,606.4,38.5,15.7,0.342,248.4,2026-09-10,mock
N85P,-62.8309,-132.0083,1047.3,40.4,26.0,0.38,57.4,2026-09-10,mock
X26P,-74.1106,-82.0551,920.9,55.3,16.6,0.264,310.5,2026-09-10,mock
V77Y,-65.9188,-108.7722,666.6,32.3,20.6,0.279,4.4,2026-09-10,mock
W89D,-60.3335,22.3504,1467.1,66.5,22.1,0.168,188.3,2026-09-10,mock
R88B,-57.6829,-37.6427,525.2,39.9,13.2,0.185,302.1,2026-09-10,mock
P51H,-73.766,-35.3922,1274.8,67.2,19.0,0.354,27.0,2026-09-10,mock
O66Z,-64.5985,82.1105,341.8,31.7,10.8,0.191,84.6,2026-09-10,mock
D61N,-58.419,-34.6023,676.1,33.7,20.1,0.224,235.2,2026-09-10,mock
Q81G,-74.6287,-40.0949,145.4,20.3,7.2,0.267,109.7,2026-09-10,mock
R89T,-68.4853,103.6107,551.4,29.2,18.9,0.128,163.6,2026-09-10,mock
L91Z,-70.2334,56.6988,684.3,33.4,20.5,0.281,0.8,2026-09-10,mock
X62D,-66.0231,36.4167,168.4,24.9,6.8,0.222,295.9,2026-09-10,mock
W53D,-65.3915,30.8263,1396.0,56.6,24.7,0.21,281.3,2026-09-10,mock
V85Q,-75.6553,-67.4012,1257.8,59.3,21.2,0.32,162.2,2026-09-10,mock
Q32W,-63.4615,-25.1699,1107.0,54.7,20.3,0.201,210.6,2026-09-10,mock
M63T,-61.1635,-35.8427,164.3,22.1,7.4,0.262,115.9,2026-09-10,mock
E62T,-63.8748,-127.9528,602.8,36.2,16.7,0.153,289.7,2026-09-10,mock
R90G,-57.2356,20.7688,1266.2,58.3,21.7,0.16,265.3,2026-09-10,mock
F74R,-64.7029,12.1315,1033.1,62.3,16.6,0.096,255.7,2026-09-10,mock
W63V,-59.7312,26.7106,1143.6,55.8,20.5,0.254,339.4,2026-09-10,mock
M28B,-57.1613,21.4171,1317.4,55.8,23.6,0.054,38.3,2026-09-10,mock
B98Z,-74.634,83.1093,1180.4,68.3,17.3,0.289,52.7,2026-09-10,mock
R38X,-69.46,41.4352,544.4,36.4,14.9,0.266,243.2,2026-09-10,mock
M59N,-69.5873,82.2279,1178.6,63.1,18.7,0.151,239.2,2026-09-10,mock
Y66H,-70.0418,-85.8204,832.7,34.9,23.8,0.138,223.4,2026-09-10,mock
X34J,-64.4621,-114.1136,557.9,39.5,14.1,0.308,70.7,2026-09-10,mock
N45R,-75.6257,66.2798,288.6,22.7,12.7,0.23,135.8,2026-09-10,mock
E51T,-70.1993,42.7196,390.0,28.9,13.5,0.298,55.7,2026-09-10,mock
C50Q,-72.4634,-21.339,1266.3,51.3,24.7,0.326,198.1,2026-09-10,mock
L38G,-57.2301,6.3182,1181.5,45.6,25.9,0.24,145.2,2026-09-10,mock
Y93A,-71.8812,85.9239,335.5,33.0,10.2,0.236,358.8,2026-09-10,mock
V51M,-61.8106,-56.83,1357.7,62.3,21.8,0.267,345.2,2026-09-10,mock
Y57Q,-62.8379,-131.9988,392.3,35.2,11.1,0.059,186.1,2026-09-10,mock
D31Y,-74.7126,-80.5959,451.7,36.6,12.3,0.162,29.6,2026-09-10,mock
D36R,-64.3679,-66.692,324.1,30.7,10.6,0.125,246.7,2026-09-10,mock
E13O,-56.5726,166.5867,1165.1,58.6,19.9,0.379,268.9,2026-09-10,mock
H43N,-62.7828,8.0256,90.9,17.5,5.2,0.245,207.0,2026-09-10,mock
X89C,-59.7887,-32.9666,481.4,33.2,14.5,0.091,2.1,2026-09-10,mock
V48T,-72.3405,-93.8345,1273.9,53.0,24.0,0.226,104.3,2026-09-10,mock
H27X,-65.6848,-42.3993,578.3,44.7,12.9,0.061,56.3,2026-09-10,mock
Z92L,-56.3323,-19.616,449.5,36.2,12.4,0.154,319.3,2026-09-10,mock
C49G,-74.6648,-23.4479,193.6,16.8,11.6,0.259,193.4,2026-09-10,mock
F38T,-58.6857,27.1781,325.5,34.7,9.4,0.348,51.3,2026-09-10,mock
R69U,-61.0726,140.7387,1009.8,52.6,19.2,0.069,270.4,2026-09-10,mock
L26V,-68.9686,-65.3494,383.5,26.6,14.4,0.253,342.6,2026-09-10,mock
V49W,-72.8547,83.6541,114.0,14.5,7.9,0.22,118.2,2026-09-10,mock
Z38W,-61.3761,-43.2941,1213.5,68.5,17.7,0.109,112.8,2026-09-10,mock
O55Y,-59.6916,13.7004,545.6,40.7,13.4,0.166,172.8,2026-09-10,mock
R35I,-66.6303,28.465,971.9,39.5,24.6,0.148,297.5,2026-09-10,mock
S84M,-57.2366,7.6939,122.3,13.4,9.1,0.228,11.2,2026-09-10,mock
Y29L,-73.8996,-68.0109,831.9,47.2,17.6,0.4,170.0,2026-09-10,mock
M56Q,-62.0669,-21.9357,1102.5,47.6,23.2,0.213,183.7,2026-09-10,mock
O30F,-73.5732,-14.6605,1211.7,58.9,20.6,0.108,185.1,2026-09-10,mock
H72H,-55.0,-40.5176,1451.9,68.2,21.3,0.219,129.2,2026-09-10,mock
O15B,-65.8564,-63.1794,1006.2,51.2,19.6,0.327,139.7,2026-09-10,mock
R82F,-71.9593,96.2121,786.8,52.3,15.1,0.342,94.8,2026-09-10,mock
H76M,-57.7632,-34.1411,983.5,58.6,16.8,0.231,135.5,2026-09-10,mock
O31H,-66.1276,90.951,1191.1,65.9,18.1,0.052,317.5,2026-09-10,mock
V39N,-63.3546,-61.7757,233.9,20.3,11.5,0.261,294.1,2026-09-10,mock
N12H,-76.4978,-91.7998,1016.1,50.5,20.1,0.257,233.0,2026-09-10,mock
F43F,-78.0,-22.3296,210.7,23.4,9.0,0.362,52.9,2026-09-10,mock
J20G,-60.1176,-67.5193,849.8,35.4,24.0,0.302,238.2,2026-09-10,mock
S33T,-71.3347,59.9424,727.7,37.1,19.6,0.194,51.4,2026-09-10,mock
M59E,-70.092,80.1317,1031.5,62.2,16.6,0.259,24.8,2026-09-10,mock
F70T,-68.3344,-54.5187,1364.9,64.6,21.1,0.339,218.0,2026-09-10,mock
T79A,-62.5096,-36.784,760.0,35.7,21.3,0.219,46.9,2026-09-10,mock
N39Z,-61.4227,-115.0432,652.9,39.3,16.6,0.356,251.2,2026-09-10,mock
D64E,-69.5044,57.2371,887.7,53.4,16.6,0.317,250.8,2026-09-10,mock
G10W,-66.7286,32.1754,1290.0,51.2,25.2,0.357,147.1,2026-09-10,mock
K62L,-58.2058,22.7396,185.6,16.4,11.3,0.279,247.6,2026-09-10,mock
I97M,-66.9522,-50.6527,387.9,37.1,10.5,0.198,131.6,2026-09-10,mock
J83L,-77.7631,-78.6369,840.8,38.9,21.6,0.246,174.2,2026-09-10,mock
W30D,-72.7451,-73.1265,1283.9,61.9,20.7,0.312,160.8,2026-09-10,mock
M91A,-61.7166,14.2824,1203.3,58.7,20.5,0.29,18.7,2026-09-10,mock
C87B,-78.0,-90.8401,1389.5,57.7,24.1,0.072,79.8,2026-09-10,mock
Y32U,-62.2567,34.9334,924.8,49.2,18.8,0.299,215.1,2026-09-10,mock
T75Q,-73.0103,51.8512,988.8,58.0,17.1,0.15,12.1,2026-09-10,mock
I61L,-63.7833,10.4845,63.7,11.1,5.7,0.05,56.7,2026-09-10,mock
J81S,-71.2486,92.6824,781.4,50.0,15.6,0.074,32.5,2026-09-10,mock
A43F,-70.8252,105.0654,347.2,36.7,9.5,0.209,145.4,2026-09-10,mock
I78Z,-59.2376,-28.3411,759.7,40.6,18.7,0.091,184.8,2026-09-10,mock
Y68V,-60.3986,-47.0169,571.8,37.9,15.1,0.135,122.3,2026-09-10,mock
H96W,-68.4348,71.6607,728.1,37.9,19.2,0.184,283.9,2026-09-10,mock
J21M,-58.7984,3.0728,536.1,37.7,14.2,0.295,94.8,2026-09-10,mock
S44F,-67.7121,85.3598,836.3,38.8,21.5,0.16,78.7,2026-09-10,mock
G39G,-59.2689,32.6978,753.5,37.3,20.2,0.307,314.2,2026-09-10,mock
V73T,-61.103,155.8579,242.4,20.0,12.1,0.372,243.3,2026-09-10,mock
S45P,-72.5576,-23.8558,73.0,13.5,5.4,0.267,177.2,2026-09-10,mock
Z64P,-63.2561,2.1802,427.6,28.5,15.0,0.252,19.5,2026-09-10,mock
Q68K,-69.3744,-75.0813,1292.0,65.4,19.7,0.21,43.3,2026-09-10,mock
F80I,-66.0158,25.6231,575.3,30.7,18.7,0.177,310.3,2026-09-10,mock
Y57L,-64.1059,19.4558,521.2,30.8,16.9,0.198,150.9,2026-09-10,mock
X44Z,-59.5941,150.8219,861.4,58.2,14.8,0.29,293.1,2026-09-10,mock
A32N,-61.2466,16.3893,302.1,32.0,9.4,0.308,170.3,2026-09-10,mock
